nome,kc_inicial,kc_medio,kc_final,z_min,z_max,p
Milho,0.3,1.2,0.6,0.3,1.0,0.55
Soja,0.4,1.15,0.5,0.4,1.2,0.5
Feijao,0.35,1.1,0.45,0.3,0.8,0.5
Trigo,0.3,1.1,0.4,0.3,1.0,0.55
Algodao,0.35,1.2,0.7,0.4,1.2,0.5
